Traditional,POS,Redirect,RP,GA,PhonEng
rubbers,,,r'Vb@z,r'Vb@`z,
rubbery,,,r'Vb@ri:,r'Vb@`ri:,r'Vb@`i:
rubbing,,,r'VbIN,,
rubbish,,,r'VbIS,,
rubble,,,r'Vb@l,,
rubblework,,,r'Vb@lw3:k,,
rubbly,,,r'Vbli:,,
rubdown,,,r'VbdaUn,,
rube,,,r'u:b,,
rubefaction,,,ru:bIf'akS@n,,ru:b@f'akS@n
rubefy,,,r'u:bIfaI,,
rubel,,,r'u:b@l,,
rubella,,,ru:b'El@,,
rubellite,,,r'u:bIlaIt,,ru:b'ElaIt
Ruben,,,r'u:b@n,,
Rubens,,,r'u:b@nz,,
rubeola,,,ru:bI'oUl@,,ru:b'i:@l@
rubescent,,,ru:b'Es@nt,,
rubicelle,,,r'u:baIs@l,,r'u:bIsEl
rubicon,,,r'u:bIk@n,,r'u:bIkO:n
rubicund,,,r'u:bIkVnd,,r'u:b@kVnd
rubidium,,,ru:b'Idi:@m,,
rubied,,,r'u:bi:d,,
rubies,,,r'u:bi:z,,
rubiginous,,,ru:b'IdZIn@s,,
Rubik,,,r'u:bIk,,
Rubin,,,r'u:bIn,,
Rubinstein,,,r'u:bInstaIn,,
rubious,,,r'u:bI@s,,r'u:bi:@s
ruble,,,r'u:b@l,,
rubles,,,r'u:b@lz,,
rubout,,,r'u:baUt,,r'VbaUt
rubric,,,r'u:brIk,,
rubricate,,,r'u:brIkeIt,r'u:brI#keIt,r'u:br@keIt
rubricated,,,r'u:brIkeItId,r'u:brI#keItI#d,r'u:br@keItId
rubrician,,,ru:br'IS@n,,
rubs,,,r'Vbz,,
rubstone,,,r'VbstoUn,,
ruby,,,r'u:bi:,,
ruche,,,r'VtS,,r'u:S
ruching,,,r'VtSIN,,r'u:SIN
ruck,,,r'Vk,,
ruckle,,,r'Vk@l,,
rucks,,,r'Vks,,
rucksack,,,r'Vksak,,
ruckus,,,r'Vk@s,,
ruction,,,r'VkS@n,,
rud,,,r'Vd,,
rudbeckia,,,rVdb'Eki:@,,r@db'Eki:@
rudd,,,r'Vd,,
rudder,,,r'Vd@,r'Vd@`,
rudderfish,,,r'Vd@fIS,r'Vd@`fIS,
rudderhead,,,r'Vd@hEd,r'Vd@`hEd,
rudderless,,,r'Vd@l@s,r'Vd@`l@s,
rudderpost,,,r'Vd@poUst,r'Vd@`poUst,
rudderstock,,,r'Vd@stQk,r'Vd@`stAk,r'Vd@`stQk
ruddle,,,r'Vd@l,,
ruddleman,,,r'Vd@lm@n,,
ruddock,,,r'Vd@k,,
ruddy,,,r'Vdi:,,
rude,,,r'u:d,,
rudely,,,r'u:dli:,,
rudeness,,,r'u:dn@s,,
ruder,,,r'u:d@,r'u:d@`,r'u:d3:
ruderal,,,r'u:d@r@l,r'u:d@`r@l,r'u:d@`@l
rudest,,,r'u:d@st,,
rudie,,,r'u:di:,,
rudiment,,,r'u:dIm@nt,,
rudimentary,,,ru:dIm'Ent@ri:,ru:dIm'Ent@`ri:,ru:d@m'Ent@`i:
rudiments,,,r'u:dIm@nts,,
Rudolf,,,r'u:dQlf,r'u:dAlf,
Rudolph,,,r'u:dQlf,r'u:dAlf,r'u:dO:lf
Rudy,,,r'Vdi:,,r'u:di:
Rudyard,,,r'VdjAd,r'VdjArd,r'Vdj@`d
rue,,,r'u:,,
rueful,,,r'u:f@l,,r'u:fUl
ruefully,,,r'u:f@lI,r'u:f@li:,
ruelle,,,rj'u:@l,,ru:'El
rufescent,,,ru:f'Es@nt,,
ruff,,,r'Vf,,
ruffed,,,r'Vft,,r@ft
ruffian,,,r'Vfi:@n,,
ruffianism,,,r'Vfi:@nIz@m,,
ruffians,,,r'Vfi:@nz,,
ruffin,,,r'VfIn,,
ruffing,,,r'VfIN,,
ruffle,,,r'Vf@l,,
ruffled,,,r'Vf@ld,,
ruffles,,,r'Vf@lz,,
ruffling,,,r'VflIN,,r'Vf@lIN
ruffs,,,r'Vfs,,
rufous,,,r'u:f@s,,
Rufus,,,r'u:f@s,,
rug,,,r'Vg,,
rugby,,,r'Vgbi:,,
rugged,,,r'VgId,r'VgI#d,r'Vg@d
ruggedly,,,r'VgIdlI,r'VgIdli:,r'Vg@dli:
rugger,,,r'Vg@,r'Vg@`,
rugging,,,r'VgIN,,
rugose,,,r'u:goUz,,r'u:goUs
rugosity,,,ru:g'QsIti:,ru:g'AsIti:,
rugs,,,r'Vgz,,
rugulose,,,r'u:gjUloUz,,r'u:gj@loUs
Ruhr,,,r'u:@,r'u:@`,r'Ur
ruin,,,r'u:In,,r'u:@n
ruination,,,ru:In'eIS@n,ru:I#n'eIS@n,ru:@n'eIS@n
ruined,,,r'u:Ind,,
ruining,,,r'u:InIN,,
ruinous,,,r'u:In@s,,r'u:@n@s
ruinously,,,r'u:In@sli:,,r'u:@n@sli:
ruinousness,,,r'u:In@sn@s,,r'u:@n@snEs
ruins,,,r'u:Inz,,
Ruisdael,,,r'u:IsdeIl,,r'OIsdAl
Ruiz,,,ru:'i:z,,
Rukeyser,,,r'u:kIs@,r'u:kIs@`,ru:k'eIz@`
ruki,,,r'u:ki:,,
rule,,,r'u:l,,
ruled,,,r'u:ld,,
ruler,,,r'u:l@,r'u:l@`,
rulers,,,r'u:l@z,r'u:l@`z,
rules,,,r'u:lz,,
ruleset,,,r'u:lsEt,,
rulesets,,,r'u:lsEts,,
ruling,,,r'u:lIN,,
rulings,,,r'u:lINz,,
rum,,,r'Vm,,
rumal,,,r'u:m@l,,ru:m'Al
rumba,,,r'Vmb@,,
rumble,,,r'Vmb@l,,r'Vmbl
rumbled,,,r'Vmb@ld,,
rumbles,,,r'Vmb@lz,,
rumbling,,,r'VmblIN,,
rumblings,,,r'VmblINz,,
rumbly,,,r'VmblI,r'Vmbli:,
rumbustious,,,rVmb'VsS@s,,r@mb'VstS@s
Rumelia,,,ru:m'i:li:@,,
rumen,,,r'u:mEn,,
rumina,,,r'u:mIn@,,
ruminant,,,r'u:mIn@nt,,r'u:m@n@nt
ruminantly,,,r'u:mIn@ntli:,,r'u:m@n@ntli:
ruminate,,,r'u:mIneIt,r'u:mI#neIt,
ruminated,,,r'u:mIneItId,r'u:mI#neItI#d,
ruminating,,,r'u:mIneItIN,r'u:mI#neItIN,
rumination,,,ru:mIn'eIS@n,ru:mI#n'eIS@n,
ruminations,,,ru:mIn'eIS@nz,ru:mI#n'eIS@nz,
ruminative,,,r'u:mIn@tIv,,
ruminatively,,,r'u:mIn@tIvli:,,
rummage,,,r'VmIdZ,,
rummaged,,,r'VmIdZd,,
rummages,,,r'VmIdZIz,r'VmIdZI#z,r'VmIdZ@z
rummaging,,,r'VmIdZIN,,
rummer,,,r'Vm@,r'Vm@`,
rummy,,,r'Vmi:,,
Rumney,,,r'VmnI,r'Vmni:,
rumor,,,r'u:m@,r'u:m@`,
rumored,,,r'u:m@d,r'u:m@`d,
rumormonger,,,r'u:mO:mQN@,r'u:mormAN@`,r'u:m@`mVNg@`
rumors,,,r'u:m@z,r'u:m@`z,
rumour,,rumor
rumoured,,rumored
rumourmonger,,rumormonger
rumours,,rumors
rump,,,r'Vmp,,
rumple,,,r'Vmp@l,,
rumpled,,,r'Vmp@ld,,
rumps,,,r'Vmps,,
rumpus,,,r'Vmp@s,,
rumpy,,,r'Vmpi:,,
rumrunner,,,r'VmrVn@,r'VmrVn@`,
rums,,,r'Vmz,,
Rumsfeld,,,r'VmsfEld,,r'VmzfEld
run,,,r'Vn,,
runabout,,,r'Vna#baUt,,r'Vn@baUt
runagate,,,r'Vna#geIt,,r'Vn@geIt
runaround,,,r'Vna#raUnd,,r'Vn@`aUnd
runaway,,,r'Vn@weI,,
runaways,,,r'Vn@weIz,,
runback,,,r'Vnbak,,
runcible,,,r'Vns@b@l,,r'VnsIb@l
runcinate,,,r'VnsIneIt,r'VnsI#neIt,r'VnsIn@t
rund,,,r'Vnd,,
rundale,,,r'VndeIl,,
rundle,,,r'Vnd@l,,
rundlet,,,r'Vndl@t,,r'VndlIt
rundown,,,r'VndaUn,,
rune,,,r'u:n,,
runed,,,r'u:nd,,
runes,,,r'u:nz,,
runesmith,,,r'u:nsmIT,,
rung,,,r'VN,,
rungs,,,r'VNz,,
runic,,,r'u:nIk,,
runkle,,,r'VNk@l,,
runkles,,,r'VNk@lz,,
runlet,,,r'Vnl@t,,r'VnlIt
runnel,,,r'Vn@l,,
runnels,,,r'Vn@lz,,
runner,,,r'Vn@,r'Vn@`,
runners,,,r'Vn@z,r'Vn@`z,
running,,,r'VnIN,,
runnings,,,r'VnINz,,
runnion,,,r'Vni:@n,,r'Vnj@n
runny,,,r'Vni:,,
Runnymede,,,r'VnaImd,,r'VnImi:d
runoff,,,r'VnQf,r'VnO:f,
runout,,,r'VnaUt,,
runrig,,,r'VnrIg,,r'Vnri:g
runround,,,r'VnraUnd,,
runs,,,r'Vnz,,
runt,,,r'Vnt,,r@nt
runtime,,,r'VntaIm,,
runty,,,r'Vnti:,,
runup,,,r'VnVp,,
runups,,,r'VnVps,,
runway,,,r'VnweI,,
runways,,,r'VnweIz,,
Runyon,,,r'VnI@n,,r'Vnj@n
rupee,,,r'u:pi:,,ru:p'i:
rupees,,,r'u:pi:z,,ru:p'i:z
Rupert,,,r'u:p@t,r'u:p@`t,
rupiah,,,r'u:p'aI@,,ru:p'aI@
rupture,,,r'VptS@,r'VptS@`,
ruptured,,,r'VptS@d,r'VptS@`d,
ruptures,,,r'VptS@z,r'VptS@`z,
rupturing,,,r'VptS@rIN,r'VptS@`rIN,r'VptS@`IN
rural,,,r'Ur@l,r'Urr@l,
ruralise,,ruralize
rurality,,,rUr'alIti:,rUrr'alIti:,
ruralize,,,r'Ur@laIz,r'Urr@laIz,
Rurik,,,r'UrIk,r'UrrIk,
Rus,,,r'u:z,,r'Vs
rusalka,,,r'u:salk@,,ru:s'alk@
ruse,,,r'u:s,,r'u:z
ruses,,,r'u:zIz,r'u:zI#z,
rush,,,r'VS,,
Rushdie,,,r'VSdi:,,
rushed,,,r'VSt,,
rushee,,,r'VSi:,,r@S'i:
rusher,,,r'VS@,r'VS@`,
rushes,,,r'VSIz,r'VSI#z,r'VS@z
rushing,,,r'VSIN,,
rushlight,,,r'VSlaIt,,
Rushmore,,,r'VSmO:,r'VSmor,r'VSmO:r
rushy,,,r'VSi:,,
Rusin,,,r'u:z@n,,r'u:sIn
rusk,,,r'Vsk,,
Ruskin,,,r'VskIn,,
Russ,,,r'Vs,,
russel,,,r'Vs@l,,
Russell,,,r'Vs@l,,
russet,,,r'VsEt,,r'VsIt
russets,,,r'VsEts,,r'VsIts
russia,,,r'VS@,,
Russian,,,r'VS@n,,
Russianise,,Russianize
Russianize,,,r'Vsi:@naIz,,r'VS@naIz
Russians,,,r'VS@nz,,
Russification,,,rVsIfIk'eIS@n,,rVs@f@k'eIS@n
russified,,,r'VsIfaId,,r'Vs@faId
russify,,,r'VsIfaI,,
Russki,,,r'VskI,r'Vski:,
Russo,,,r'VsoU,,r'u:soU
Russophile,,,r'Vs@faIl,,r'VsoUfaIl
rust,,,r'Vst,,
rusted,,,r'VstId,r'VstI#d,r'Vst@d
rustic,,,r'VstIk,,
rusticate,,,r'VstIkeIt,r'VstI#keIt,r'Vst@keIt
rustication,,,rVstIk'eIS@n,,rVst@k'eIS@n
rustier,,,r'VstI@,r'VstI@`,r'Vsti:@`
rustiest,,,r'VstI@st,,r'Vsti:@st
rusting,,,r'VstIN,,
rustle,,,r'Vs@l,,
rustled,,,r'Vs@ld,,
rustler,,,r'Vsl@,r'Vsl@`,
rustlers,,,r'Vsl@z,r'Vsl@`z,r'Vs@l@`z
rustles,,,r'Vs@lz,,
rustling,,,r'VslIN,,
rustproof,,,r'Vstpru:f,,r'Vstpr'u:f
rustproofing,,,r'Vstpru:fIN,,r'Vstpr'u:fIN
rustre,,,r'Vst@,r'Vst@`,
rustred,,,r'Vst@d,,r'Vst@`d
rusts,,,r'Vsts,,
rusty,,,r'Vsti:,,
rut,,,r'Vt,,
rutabaga,,,ru:ta#b'Ag@,,r'u:t@beIg@
rutabagas,,,ru:ta#b'Ag@z,,r'u:t@beIg@z
rutaceous,,,ru:t'eIS@s,,
Rutan,,,r'u:t@n,,ru:t'an
Rutgers,,,r'VtdZ@z,r'VtdZ@`z,r'Vtg@`z
ruth,,,r'u:T,,
Ruthenia,,,ru:T'i:ni:@,,
Ruthenian,,,ru:T'i:ni:@n,,
ruthenic,,,ru:T'EnIk,,
ruthenious,,,r'u:T@nI@s,,ru:T'i:ni:@s
ruthenium,,,ru:T'i:ni:@m,,
rutherford,,,r'u:D@f@d,r'u:D@`f@`d,r'VT@`f@`d
rutherfordium,,,ru:D@f'O:di:@m,ru:D@`f'ordi:@m,rVD@f'ordi:@m
ruthful,,,r'u:Tf@l,,
ruthfully,,,r'u:Tf@lI,r'u:Tf@li:,
ruthfulness,,,r'u:Tf@ln@s,,r'u:Tf@lnEs
Ruthie,,,r'u:Ti:,,
ruthless,,,r'u:Tl@s,,
ruthlessly,,,r'u:Tl@slI,r'u:Tl@sli:,
ruthlessness,,,r'u:Tl@sn@s,,r'u:TlIsnEs
rutile,,,r'u:taIl,,r'u:ti:l
rutin,,,r'u:tIn,,r'u:t@n
Rutland,,,r'Vtl@nd,,
Rutledge,,,r'Vt@ldZ,,r'VtlIdZ
ruts,,,r'Vts,,
rutted,,,r'VtId,r'VtI#d,
rutter,,,r'Vt@,r'Vt@`,
rutty,,,r'Vti:,,
Ruwenzori,,,ru:w@nz'O:ri:,,ru:wEnz'ori:
Ruysdael,,,r'aIsdeIl,,r'OIsdAl
Ruyter,,,r'aIt@,r'aIt@`,r'OIt@`
Rwanda,,,rU'and@,,r@w'Qnd@
Rwandan,,,rU'and@n,,r@w'Qnd@n
Rwandans,,,rU'and@nz,,r@w'Qnd@nz
Rwandese,,,rU'andi:z,,r@wQd'i:z
ryal,,,r'aI@l,,ri:'Ql
ryals,,,r'aI@lz,,ri:'Qlz
Ryan,,,r'aI@n,,
Ryazan,,,r'aIaz@n,,rjAz'Anj@
Rybinsk,,,r'aIbInsk,,rw'i:bInsk
Rydberg,,,r'Idb3:g,,r'Idb@`g
Ryder,,,r'aId@,r'aId@`,
rye,,,r'aI,,
ryegrass,,,r'aIIgras,,r'aIgras
Ryeland,,,r'aIEl@nd,,r'aIl@nd
ryke,,,r'aIk,,
rynd,,,r'Ind,,r'aInd
Ryswick,,,r'IswIk,,r'IzwIk
Ryukyu,,,rj'u:kIu:,,rj'u:kju:
SA,,,s'A,,s'Q
Saab,,,s'Ab,,s'Qb
Saadi,,,s'AdI,s'Adi:,sAd'i:
Saar,,,s'A,s'Ar,s'Qr
Saarinen,,,s'AraIn@n,,s'QrIn@n
Saatchi,,,s'AtSaI,,s'QtSi:
Saba,,,s'Ab@,,s'eIb@
Sabadell,,,s'abeId@l,,sAbAd'El
sabadilla,,,saba#d'Il@,,sab@d'Il@
Sabaean,,Sabean
Sabah,,,s'ab@,,s'AbA
Sabatier,,,s'aba#tI@,s'aba#tI@`,sabatj'eI
sabaton,,,s'abat@n,,s'ab@tQn
sabayon,,,s'abeI@n,,sabaj'QN
sabbat,,,s'abat,,s'ab@t
Sabbatarian,,,saba#t'e@ri:@n,saba#t'Eri:@n,sab@t'e@i:@n
sabbath,,,s'abaT,,s'ab@T
sabbaths,,,s'abaTs,,s'ab@Ts
sabbatical,,,sa#b'atIk@l,,s@b'atIk@l
Sabbatically,,,sa#b'atIkli:,,s@b'atIk@li:
sabbaticals,,,sab'atIk@lz,,s@b'atIk@lz
sabbatise,,sabbatize
sabbatize,,,s'aba#taIz,,s'ab@taIz
Sabean,,,seIb'i:@n,,s@b'i:@n
sabella,,,seIb'El@,,s@b'El@
Sabellian,,,s'eIb@li:@n,,s@b'Eli:@n
saber,,,s'eIb@,s'eIb@`,
sabers,,,s'eIb@z,s'eIb@`z,
sabin,,,s'abIn,,s'eIbIn
Sabina,,,sa#b'i:n@,,s@b'aIn@
sabine,,,sa#b'i:n,,s'eIbaIn
sabins,,,s'abInz,,s'eIbInz
sabir,,,s'abi:@,s'abIr,s'eIb@`
sable,,,s'eIb@l,,
sablefish,,,s'eIb@lfIS,,
sables,,,s'eIb@lz,,
sabot,,,s'abQt,s'abAt,s'aboUt
sabotage,,,s'ab@tAZ,,
sabotaged,,,s'ab@tAZd,,s'ab@tQZd
sabotaging,,,s'ab@tAZIN,,s'ab@tQZIN
saboted,,,s'aboUtId,s'aboUtI#d,sab'oUd
saboteur,,,sab@t'3:,,
saboteurs,,,sab@t'3:z,,
sabra,,,s'abr@,,s'Abr@
Sabre,,,s'eIb@,s'eIb@`,
sabres,,sabers
Sabrina,,,sabr'i:n@,,s@br'i:n@
sabulosity,,,sabjUl'QsIti:,sabjUl'AsIti:,sabj@l'QsIti:
sabulous,,,s'abjUl@s,,s'abj@l@s
sac,,,s'ak,,
sacaton,,,s'akat@n,,sak@t'oUn
sacbut,,,s'akbVt,,
saccade,,,s'akeId,,sak'Ad
saccades,,,s'akeIdz,,
saccadic,,,sak'adIk,,s@k'adIk
saccate,,,s'akeIt,,
saccharate,,,s'aka#reIt,,s'ak@`eIt
saccharic,,,sak'arIk,,s@k'arIk
saccharide,,,s'akAraId,,s'ak@`aId
sacchariferous,,,sakAr'If@r@s,sakAr'If@`r@s,sak@`'If@`@s
saccharify,,,sak'ArIfaI,,sak@`'ImIt@`
saccharimeter,,,s'akAraImi:t@,s'akAraImi:t@`,sak@`'i:mIt@`
saccharimetry,,,sakAr'Im@trI,sakAr'Im@tri:,sak@`'ImItri:
saccharin,,,s'ak@rIn,s'ak@`rIn,s'ak@`In
saccharine,,,s'ak@rIn,s'ak@`rIn,s'ak@`aIn
saccharinely,,,s'ak@rInli:,s'ak@`rInli:,s'ak@`Inli:
saccharinity,,,sakAr'InIti:,,sak@`'InIti:
saccharoid,,,s'aka#rOId,,s'ak@`OId
saccharometer,,,saka#r'QmIt@,saka#r'AmIt@`,sak@`'QmIt@`
saccharose,,,s'aka#roUz,,s'ak@`oUs
sacciform,,,s'aksIfO:m,s'aksIfO:rm,s'aksIform
Sacco,,,s'akoU,,
saccular,,,s'akjUl@,s'akjUl@`,s'akj@l@`
sacculate,,,s'akjUleIt,,s'akj@leIt
saccule,,,s'akju:l,,
sacculus,,,s'akjUl@s,,s'akj@l@s
sacellum,,,s'eIs@l@m,,s@k'El@m
sacerdotal,,,s'as@dQt@l,s'as@`dAt@l,sak@d'oUt@l
sachem,,,s'aS@m,,s'eItS@m
sachemic,,,saS'EmIk,,seItS'EmIk
sachet,,,s'aSeI,,saS'eI
Sachs,,,s'aks,,
Sachsen,,,s'atSs@n,,z'Aks@n
sack,,,s'ak,,
sackbut,,,s'akbVt,,
sackcloth,,,s'akklQT,s'akklO:T,s'aklQT
sacked,,,s'akt,,
sacker,,,s'ak@,s'ak@`,
sackful,,,s'akf@l,,s'akfUl
sacking,,,s'akIN,,
sackless,,,s'akl@s,,s'aklEs
sacks,,,s'aks,,
Sackville,,,s'akvIl,,
sacque,,,s'ak,,
sacra,,,s'akr@,,
sacral,,,s'akr@l,,s'eIkr@l
sacrament,,,s'akr@m@nt,,
sacramental,,,sakr@m'Ent@l,,
sacramentalist,,,sakr@m'Ent@lIst,,
sacramentally,,,sakr@m'Ent@li:,,
sacramentarian,,,sakr@m'Ent'e@ri:@n,sakr@m'Ent'Eri:@n,sakr@m@nt'e@i:@n
Sacramento,,,sakr@m'EntoU,,
sacraments,,,s'akr@m@nts,,
sacrarium,,,sakr'e@ri:@m,sakr'Eri:@m,s@kr'e@i:@m
sacred,,,s'eIkr@d,,s'eIkrId
sacredness,,,s'eIkr@dn@s,,s'eIkrIdnIs
sacrifice,,,s'akrIfaIs,,s'akr@faIs
sacrificed,,,s'akrIfaIst,,s'akr@faIst
sacrifices,,,s'akrIfaIsIz,s'akrIfaIsI#z,s'akr@faIsIz
sacrificial,,,sakrIf'IS@l,,sakr@f'IS@l
sacrificing,,,s'akrIfaIsIN,,s'akr@faIsIN
sacrilege,,,s'akrIlIdZ,,s'akr@l@dZ
sacrilegious,,,sakrIl'IdZ@s,,sakr@l'EdZIs
sacrilegiously,,,sakrIl'IdZ@sli:,,sakr@l'IdZ@sli:
sacrilegiousness,,,sakrIl'IdZ@sn@s,,sakr@l'IdZ@snEs
sacring,,,s'akrIN,,s'eIkrIN
sacrist,,,s'akrIst,,
sacristan,,,s'akrIstan,,s'akrIst@n
sacristy,,,s'akrIsti:,,s'akri:sti:
sacroiliac,,,sakr'OIlIak,,sakroU'Ili:ak
sacrosanct,,,s'akr@sankt,,s'akroUsaNkt
sacrosanctness,,,s'akr@sanktn@s,,s'akroUsaNktnEs
sacrosciatic,,,sakr@sI'atIk,,sakroUsaI'atIk
sacrum,,,s'eIkr@m,,s'akr@m
sacs,,,s'aks,,
sad,,,s'ad,,
Sadat,,,s'adat,,s@d'at
Saddam,,,s'ad@m,,s'Qd@m
sadden,,,s'ad@n,,
saddened,,,s'ad@nd,,
saddening,,,s'ad@nIN,,
saddens,,,s'ad@nz,,
sadder,,,s'ad@,s'ad@`,
saddest,,,s'ad@st,,
saddle,,,s'ad@l,,
saddleback,,,s'ad@lbak,,
saddlebag,,,s'ad@lbag,,
saddlebags,,,s'ad@lbagz,,
saddlebow,,,s'ad@lboU,,
saddlecloth,,,s'ad@lklQT,s'ad@lklO:T,
saddled,,,s'ad@ld,,
saddler,,,s'adl@,s'adl@`,
saddlery,,,s'ad@lri:,,s'adl@`i:
saddles,,,s'ad@lz,,
saddlesore,,,s'ad@lsO:,s'ad@lsor,
saddletree,,,s'ad@ltri:,,
saddling,,,s'adlIN,,s'ad@lIN
Sadducee,,,s'adju:si:,s'adZu:si:,s'adZ@si:
sade,,,s'eId,,s'Ad
sadhu,,,s'adhu:,,s'Adu:
sadi,,,s'adI,s'adi:,s'Adi:
Sadie,,,s'eIdi:,,s'adi:
sadiron,,,s'adaI@n,s'adaI@`n,
sadism,,,s'eIdIz@m,,
sadist,,,s'eIdIst,,s'eId@st
sadistic,,,sa#d'IstIk,,s@d'IstIk
sadistically,,,sa#d'IstIkli:,,s@d'IstIk@li:
sadly,,,s'adli:,,
sadness,,,s'adn@s,,
sadomasochism,,,seIdoUm'as@kIz@m,,sadoUm'as@kIz@m
sae,,se
Saeed,,Seed
saeta,,seta
Safar,,,s'afA,s'afAr,s@f'Ar
safari,,,sa#f'Ari:,sa#f'Arri:,s@f'Ari:
safaris,,,s'afArIs,,s@f'Qri:z
Safavid,,,s'afa#vId,,sAf'Awi:d
safe,,,s'eIf,,
safeguard,,,s'eIfgAd,s'eIfgArd,
safeguarded,,,s'eIfgAdId,s'eIfgArdI#d,s'eIfgQrdId
safeguarding,,,s'eIfgAdIN,s'eIfgArdIN,s'eIfgQrdIN
safeguards,,,s'eIfgAdz,s'eIfgArdz,s'eIfgQrdz
safekeeping,,,s'eIfki:pIN,,s'eIfk'i:pIN
safelight,,,s'eIflaIt,,
safely,,,s'eIfli:,,
safer,,,s'eIf@,s'eIf@`,
safes,,,s'eIfs,,
safest,,,s'eIf@st,,
safeties,,,s'eIfti:z,,
safety,,,s'eIfti:,,
Safeway,,,s'eIfweI,,
safflower,,,s'aflaU@,s'aflaU@`,
saffron,,,s'afrQn,s'afrAn,s'afr@n
safranine,,,s'afra#naIn,,s'afr@ni:n
safrol,,,s'afrQl,s'afrAl,s'afroUl
sag,,,s'ag,,
saga,,,s'Ag@,,
sagacious,,,sag'eIS@s,,s@g'eIS@s
sagacity,,,sag'asIti:,,s@g'asIti:
sagamore,,,s'aga#mO:,s'aga#mor,s'ag@mor
Sagan,,,s'ag@n,,s'eIg@n
sagas,,,s'Ag@z,,s'Qg@z
sagbut,,,s'agbVt,,
sage,,,s'eIdZ,,
sagebrush,,,s'eIdZbrVS,,
sagely,,,s'eIdZli:,,
sager,,,s'eIdZ@,s'eIdZ@`,s'eIg@`
sages,,,s'eIdZIz,s'eIdZI#z,
saggar,,,s'ag@,s'ag@`,
sagged,,,s'agd,,
sagger,,,s'ag@,s'ag@`,
sagging,,,s'agIN,,
Saginaw,,,s'adZInO:,,s'agInO:
sagitta,,,s'adZIt@,,
sagittal,,,s'adZIt@l,,
Sagittarius,,,sadZIt'e@rI@s,sadZIt'ErI@s,sadZIt'e@i:@s
sagittary,,,s'adZIt@ri:,s'adZIt@`ri:,s'adZItEri:
sagittate,,,s'adZIteIt,,
sago,,,s'eIgoU,,
sags,,,s'agz,,
Saguache,,,s'agju:atS,,s@w'atS
saguaro,,,sag'aroU,,s@gw'AroU
Saguenay,,,s'eIgneI,,s'ag@neI
Sagunto,,,sag'VntoU,,s@g'u:ntoU
Sahara,,,sa#h'Ar@,sa#h'ar@,s@h'e@@
Saharan,,,s'ahar@n,,s'ah@`@n
Saharanpur,,,s'aha#ranpU@,s'aha#ranpUr,s@h'Ar@npUr
sahib,,,s'ahIb,,s'AIb
sahuaro,,,sahju:'aroU,,saw'AroU
sai,,,s'aI,,
saice,,,s'eIs,,s'aIs
said,,,s'Ed,,s'AId
Saida,,,s'Ed@,,s'Ai:dA
saidest,,,s'Ed@st,,s'EdIst
saidst,,,s'Edst,,
saiga,,,s'eIg@,,s'aIg@
Saigon,,,saIg'Qn,saIg'An,
sail,,,s'eIl,,
sailboard,,,s'eIlbO:d,s'eIlbord,
sailboat,,,s'eIlboUt,,
sailboats,,,s'eIlboUts,,
sailcloth,,,s'eIlklQT,s'eIlklO:T,
sailed,,,s'eIld,,
sailer,,,s'eIl@,s'eIl@`,
sailfish,,,s'eIlfIS,,
sailing,,,s'eIlIN,,
sailmaker,,,s'eIlmeIk@,s'eIlmeIk@`,
sailor,,,s'eIl@,s'eIl@`,
sailoring,,,s'eIl@rIN,s'eIl@`rIN,s'eIl@`IN
sailorly,,,s'eIl@li:,s'eIl@`li:,
sailors,,,s'eIl@z,s'eIl@`z,
sailplane,,,s'eIlpleIn,,
sails,,,s'eIlz,,
sain,,,s'eIn,,
sainfoin,,,s'eInfOIn,,
saint,,,s'eInt,,
saintdom,,,s'eIntd@m,,
sainted,,,s'eIntId,s'eIntI#d,
sainthood,,,s'eInthUd,,
saintly,,,s'eIntli:,,
saints,,,s'eInts,,
Saipan,,,s'eIpan,,saIp'an
sais,,,s'aIz,,s'eIIs
saith,,,s'eIT,,s'ET
Saiva,,,s'eIv@,,s'i:v@
sakai,,,s'akaI,,s'Ak'aI
sake,,,s'eIk,,
saker,,,s'eIk@,s'eIk@`,
sakes,,,s'eIks,,
Sakhalin,,,s'akha#lIn,,s'ak@lIn
Sakharov,,,s'akArQv,s'akArAv,s'Qk@`Qv
Saki,,,s'aki:,,s'Aki:
sakis,,sakes
sakkos,,,s'akoUz,,s'AkQs
Saks,,,s'aks,,
Sakti,,,s'akti:,,S'Vkti:
Saktism,,,s'aktIz@m,,S'VktIz@m
sal,,,s'al,,
salaam,,,s'alAm,,s@l'Am
salable,,,s'eIl@b@l,,
salacious,,,sal'eIS@s,,s@l'eIS@s
salaciously,,,sal'eIS@sli:,,s@l'eIS@sli:
salaciousness,,,sal'eIS@sn@s,,s@l'eIS@snEs
salacity,,,sal'asIti:,,s@l'asIti:
salad,,,s'al@d,,
salade,,,s'aleId,,s@l'Ad
Saladin,,,s'ala#dIn,,s'al@dIn
Salado,,,sal'AdoU,,s@l'AdoU
salads,,,s'al@dz,,
Salafi,,,s'ala#fi:,s'alafi:,
Salafism,,,s'aleIfIz@m,,
Salafist,,,s'ala#fIst,,
Salafists,,,s'ala#fIsts,,
salal,,,s'al@l,,s@l'al
Salamanca,,,sala#m'ank@,,sal@m'aNk@
salamander,,,s'ala#mand@,s'ala#mand@`,sal@m'and@`
salamanders,,,s'ala#mand@z,s'ala#mand@`z,sal@m'and@`z
